"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","TEXTILE ENGINEERING - TFWS","TFWS","GUJCET Based","GIA","31574.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","TEXTILE PROCESSING","GEN","JEE Based","GIA","932461.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","TEXTILE TECHNOLOGY","GEN","GUJCET Based","GIA","38328.00"
"FACULTY OF TECHNOLOGY &
ENGINEERING(MSU), VADODARA","TEXTILE TECHNOLOGY","GEN","JEE Based","GIA","931898.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CHEMICAL ENGINEERING","EWS","GUJCET Based","GIA","6412.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CHEMICAL ENGINEERING","GEN","GUJCET Based","GIA","5591.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CHEMICAL ENGINEERING","SEBC","GUJCET Based","GIA","9186.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CHEMICAL ENGINEERING","GEN","JEE Based","GIA","901369.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CIVIL ENGINEERING","EWS","GUJCET Based","GIA","13859.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CIVIL ENGINEERING","GEN","GUJCET Based","GIA","12638.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CIVIL ENGINEERING","SEBC","GUJCET Based","GIA","19020.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CIVIL ENGINEERING","ST","GUJCET Based","GIA","36610.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CIVIL ENGINEERING","EWS","JEE Based","GIA","904700.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","CIVIL ENGINEERING","GEN","JEE Based","GIA","902894.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","EWS","GUJCET Based","GIA","381.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","GEN","GUJCET Based","GIA","351.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","SC","GUJCET Based","GIA","3942.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","SEBC","GUJCET Based","GIA","842.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","ST","GUJCET Based","GIA","21009.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","GEN","JEE Based","GIA","900029.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING","SEBC","JEE Based","GIA","900571.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","COMPUTER ENGINEERING - TFWS","TFWS","GUJCET Based","GIA","184.00"
"FACULTY OF TECHNOLOGY AND
ENGINEERING(GIA), DHARMSINH DESAI
UNIVERSITY, (DDU), NADIAD","ELECTRONICS &
COMMUNICATION ENGINEERING","EWS","GUJCET Based","GIA","1637.00"
